140
50
0,0.0,5.890624999999994,0.0,17.5625
65537,17.562499972237717,-999.9999999999475,2.780824552128492,-999.9999795199999
196611,250.9962864721899,0.0,1.312,0.0
131074,0.0,0.0,0.0,0.0
1,0.0,9.781246831708467,9.78125,33.125
65536,9.781249999999996,1.9999999999999798,0.0,9.77167334519926
196610,0.0,0.0,0.0,101.41886472189903
131075,126.49839677439999,126.4515172433836,500.0,0.0
131072,5.11246962371556,1.9789414397378513,0.0,-999.68
2,0.0,-1000.0,17.562499999995886,64.25
65539,64.24918869648414,251.0,-999.9999999999995,0.0
196609,-992.0,0.0,0.0,1.2799999999999998
131073,0.0,0.0,0.0,0.0
3,0.0,126.5,33.12499999999998,0.0
65538,0.0,0.0,0.0,0.0
196608,1.9839999997378461,0.0,0.0,1.62944
